"nome","url"
"São Paulo","https://www.climatempo.com.br/previsao-do-tempo/15-dias/cidade/558/saopaulo-sp"
"Salvador","https://www.climatempo.com.br/previsao-do-tempo/15-dias/cidade/56/salvador-ba"
