CIDADE,DT_ACESSO,DT_PREVISAO,HORARIO,TEMPERATURA
Salvador,2022-08-29,2022-08-29,16:00:00,27
Salvador,2022-08-29,2022-08-29,17:00:00,26
Salvador,2022-08-29,2022-08-29,18:00:00,25
Salvador,2022-08-29,2022-08-29,19:00:00,24
Salvador,2022-08-29,2022-08-29,20:00:00,24
Salvador,2022-08-29,2022-08-29,21:00:00,23
Salvador,2022-08-29,2022-08-29,22:00:00,23
Salvador,2022-08-29,2022-08-29,23:00:00,22
Salvador,2022-08-29,2022-08-30,00:00:00,22
Salvador,2022-08-29,2022-08-30,01:00:00,22
Salvador,2022-08-29,2022-08-30,02:00:00,21
Salvador,2022-08-29,2022-08-30,03:00:00,21
Salvador,2022-08-29,2022-08-30,04:00:00,21
Salvador,2022-08-29,2022-08-30,05:00:00,21
Salvador,2022-08-29,2022-08-30,06:00:00,21
Salvador,2022-08-29,2022-08-30,07:00:00,23
Salvador,2022-08-29,2022-08-30,08:00:00,25
Salvador,2022-08-29,2022-08-30,09:00:00,25
Salvador,2022-08-29,2022-08-30,10:00:00,26
Salvador,2022-08-29,2022-08-30,11:00:00,26
Salvador,2022-08-29,2022-08-30,12:00:00,26
Salvador,2022-08-29,2022-08-30,13:00:00,26
Salvador,2022-08-29,2022-08-30,14:00:00,26
Salvador,2022-08-29,2022-08-30,15:00:00,26
Salvador,2022-08-29,2022-08-30,16:00:00,25
Salvador,2022-08-29,2022-08-30,17:00:00,24
Salvador,2022-08-29,2022-08-30,18:00:00,23
Salvador,2022-08-29,2022-08-30,19:00:00,22
Salvador,2022-08-29,2022-08-30,20:00:00,22
Salvador,2022-08-29,2022-08-30,21:00:00,22
Salvador,2022-08-29,2022-08-30,22:00:00,22
Salvador,2022-08-29,2022-08-30,23:00:00,22
Salvador,2022-08-29,2022-08-31,00:00:00,21
Salvador,2022-08-29,2022-08-31,01:00:00,21
Salvador,2022-08-29,2022-08-31,02:00:00,20
Salvador,2022-08-29,2022-08-31,03:00:00,21
Salvador,2022-08-29,2022-08-31,04:00:00,21
Salvador,2022-08-29,2022-08-31,05:00:00,21
Salvador,2022-08-29,2022-08-31,06:00:00,21
Salvador,2022-08-29,2022-08-31,07:00:00,22
Salvador,2022-08-29,2022-08-31,08:00:00,22
Salvador,2022-08-29,2022-08-31,09:00:00,22
Salvador,2022-08-29,2022-08-31,10:00:00,22
Salvador,2022-08-29,2022-08-31,11:00:00,22
Salvador,2022-08-29,2022-08-31,12:00:00,23
Salvador,2022-08-29,2022-08-31,13:00:00,23
Salvador,2022-08-29,2022-08-31,14:00:00,25
Salvador,2022-08-29,2022-08-31,15:00:00,23
Salvador,2022-08-29,2022-08-31,16:00:00,23
Salvador,2022-08-29,2022-08-31,17:00:00,22
Salvador,2022-08-29,2022-08-31,18:00:00,22
Salvador,2022-08-29,2022-08-31,19:00:00,22
Salvador,2022-08-29,2022-08-31,20:00:00,22
Salvador,2022-08-29,2022-08-31,21:00:00,23
Salvador,2022-08-29,2022-08-31,22:00:00,24
Salvador,2022-08-29,2022-08-31,23:00:00,23
São Paulo,2022-08-30,2022-08-30,00:00:00,11
São Paulo,2022-08-30,2022-08-30,01:00:00,12
São Paulo,2022-08-30,2022-08-30,02:00:00,13
São Paulo,2022-08-30,2022-08-30,03:00:00,13
São Paulo,2022-08-30,2022-08-30,04:00:00,13
São Paulo,2022-08-30,2022-08-30,05:00:00,13
São Paulo,2022-08-30,2022-08-30,06:00:00,13
São Paulo,2022-08-30,2022-08-30,07:00:00,12
São Paulo,2022-08-30,2022-08-30,08:00:00,13
São Paulo,2022-08-30,2022-08-30,09:00:00,13
São Paulo,2022-08-30,2022-08-30,10:00:00,14
São Paulo,2022-08-30,2022-08-30,11:00:00,14
São Paulo,2022-08-30,2022-08-30,12:00:00,15
São Paulo,2022-08-30,2022-08-30,13:00:00,16
São Paulo,2022-08-30,2022-08-30,14:00:00,16
São Paulo,2022-08-30,2022-08-30,15:00:00,16
São Paulo,2022-08-30,2022-08-30,16:00:00,15
São Paulo,2022-08-30,2022-08-30,17:00:00,15
São Paulo,2022-08-30,2022-08-30,18:00:00,14
São Paulo,2022-08-30,2022-08-30,19:00:00,14
São Paulo,2022-08-30,2022-08-30,20:00:00,14
São Paulo,2022-08-30,2022-08-30,21:00:00,13
São Paulo,2022-08-30,2022-08-30,22:00:00,12
São Paulo,2022-08-30,2022-08-30,23:00:00,12
São Paulo,2022-08-30,2022-08-31,00:00:00,11
São Paulo,2022-08-30,2022-08-31,01:00:00,11
São Paulo,2022-08-30,2022-08-31,02:00:00,11
São Paulo,2022-08-30,2022-08-31,03:00:00,11
São Paulo,2022-08-30,2022-08-31,04:00:00,10
São Paulo,2022-08-30,2022-08-31,05:00:00,10
São Paulo,2022-08-30,2022-08-31,06:00:00,10
São Paulo,2022-08-30,2022-08-31,07:00:00,10
São Paulo,2022-08-30,2022-08-31,08:00:00,11
São Paulo,2022-08-30,2022-08-31,09:00:00,12
São Paulo,2022-08-30,2022-08-31,10:00:00,15
São Paulo,2022-08-30,2022-08-31,11:00:00,17
São Paulo,2022-08-30,2022-08-31,12:00:00,19
